Process Stage,Technology,Time Period,Location,Functional Unit,Raw Material Type,Raw Material Quantity (kg or unit),Energy Input Type,Energy Input Quantity (MJ),Transport Mode,Transport Distance (km),Fuel Type,Emissions to Air CO2 (kg),Emissions to Air SOx (kg),Emissions to Air NOx (kg),Emissions to Air Particulate Matter (kg),Emissions to Water BOD (kg),Emissions to Water Heavy Metals (kg),Greenhouse Gas Emissions (kg CO2-eq),Recycled Content (%),Reuse Potential (%),End-of-Life Treatment,Recovery Rate (%)
Transport,Advanced,2020-2025,South America,1 m2 Aluminium Panel,Aluminium Ore,2.614,Coal,44.41,Rail,861.4,Heavy Fuel Oil,0.116,1.257,0.607,0.177,0.276,0.988,5.769,66.37,11.83,Recycling,60.18
Use,Conventional,2015-2019,Asia,1 kg Aluminium Sheet,Aluminium Ore,4.93,Electricity,29.89,Truck,849.6,Electric,4.988,2.943,1.547,3.368,0.845,0.171,9.324,31.92,28.34,Landfill,86.08
End-of-Life,Emerging,2015-2019,Europe,1 kg Aluminium Sheet,Aluminium Scrap,2.397,Electricity,34.57,Ship,607.5,Heavy Fuel Oil,1.097,1.149,2.601,2.046,0.295,0.054,10.655,81.66,85.14,Landfill,23.54
Raw Material Extraction,Emerging,2020-2025,Europe,1 m2 Aluminium Panel,Copper Scrap,3.198,Natural Gas,85.73,Truck,414.6,Diesel,4.661,4.515,1.041,1.295,0.18,0.196,18.203,93.11,5.19,Reuse,59.36
Raw Material Extraction,Emerging,2020-2025,Asia,1 kg Copper Wire,Aluminium Ore,3.039,Coal,39.66,Truck,635.4,Electric,4.737,0.851,0.602,0.167,0.364,0.338,8.901,50.33,75.78,Landfill,39.21
Raw Material Extraction,Conventional,2020-2025,Europe,1 m2 Aluminium Panel,Copper Scrap,1.988,Natural Gas,82.86,Ship,851.3,Electric,1.164,1.573,4.126,0.397,0.326,0.448,4.148,17.99,42.49,Landfill,75.45
Raw Material Extraction,Conventional,2010-2014,Europe,1 kg Aluminium Sheet,Aluminium Ore,4.281,Natural Gas,97.94,Ship,83.2,Diesel,1.083,3.783,2.703,1.638,0.206,0.28,8.871,17.72,96.42,Landfill,10.76
Manufacturing,Conventional,2020-2025,Europe,1 kg Copper Wire,Copper Ore,4.935,Coal,84.35,Ship,428.9,Electric,3.699,3.358,1.066,1.695,0.513,0.638,11.086,47.3,44.32,Reuse,49.83
Manufacturing,Conventional,2010-2014,Asia,1 kg Aluminium Sheet,Aluminium Scrap,2.455,Coal,54.59,Truck,889.1,Heavy Fuel Oil,3.164,3.613,2.987,3.215,0.578,0.027,19.992,3.36,39.51,Reuse,10.51
Transport,Conventional,2010-2014,Europe,1 m2 Aluminium Panel,Copper Ore,0.936,Natural Gas,79.56,Rail,431.7,Electric,4.006,1.364,1.282,1.256,0.616,0.815,9.319,37.92,97.36,Incineration,11.68
End-of-Life,Conventional,2020-2025,North America,1 kg Aluminium Sheet,Aluminium Ore,2.69,Electricity,41.44,Ship,107.1,Diesel,1.341,0.142,4.385,3.039,0.815,0.522,12.19,70.09,90.8,Reuse,9.18
End-of-Life,Conventional,2015-2019,Europe,1 m2 Aluminium Panel,Aluminium Scrap,1.989,Electricity,71.19,Truck,958.8,Electric,4.904,3.191,0.968,0.596,0.946,0.434,4.299,93.39,10.45,Incineration,72.96
Use,Conventional,2020-2025,Asia,1 m2 Aluminium Panel,Aluminium Scrap,3.314,Natural Gas,9.69,Rail,345.4,Heavy Fuel Oil,0.75,3.022,2.386,0.021,0.976,0.35,5.535,22.24,15.88,Recycling,99.91
Raw Material Extraction,Conventional,2010-2014,North America,1 kg Aluminium Sheet,Copper Scrap,1.828,Electricity,41.15,Truck,872.6,Diesel,3.209,1.843,4.492,3.749,0.228,0.644,18.487,49.65,73.36,Reuse,97.11
Raw Material Extraction,Conventional,2015-2019,Asia,1 kg Copper Wire,Aluminium Scrap,3.607,Coal,11.14,Ship,252.1,Electric,2.975,1.378,4.788,2.027,0.457,0.702,10.723,38.21,7.66,Incineration,59.64
Use,Advanced,2020-2025,Asia,1 kg Aluminium Sheet,Aluminium Scrap,4.404,Electricity,68.89,Rail,387.7,Diesel,0.639,4.082,4.709,1.941,0.729,0.411,10.294,83.65,8.34,Recycling,53.03
Manufacturing,Advanced,2020-2025,South America,1 kg Aluminium Sheet,Aluminium Scrap,1.466,Coal,34.64,Truck,648.0,Heavy Fuel Oil,0.136,2.969,1.417,3.347,0.142,0.736,13.09,97.12,91.12,Landfill,28.33
End-of-Life,Advanced,2015-2019,Europe,1 kg Aluminium Sheet,Aluminium Ore,0.623,Natural Gas,65.88,Rail,606.9,Electric,0.137,0.613,2.924,4.559,0.907,0.151,7.999,4.32,46.93,Recycling,75.31
Use,Advanced,2010-2014,Europe,1 kg Copper Wire,Copper Ore,4.055,Electricity,50.4,Truck,104.9,Heavy Fuel Oil,1.907,4.661,1.148,1.599,0.747,0.734,18.288,38.81,51.46,Recycling,46.74
Transport,Advanced,2015-2019,Asia,1 m2 Aluminium Panel,Aluminium Ore,4.675,Electricity,77.16,Rail,833.1,Electric,0.665,3.959,2.165,0.117,0.06,0.678,7.754,86.81,73.43,Incineration,2.17
Raw Material Extraction,Conventional,2020-2025,Europe,1 kg Aluminium Sheet,Aluminium Scrap,3.591,Natural Gas,20.04,Ship,428.4,Electric,3.124,4.364,2.28,4.042,0.783,0.415,10.269,70.05,3.11,Reuse,89.08
Transport,Advanced,2015-2019,Europe,1 kg Copper Wire,Copper Scrap,3.964,Coal,25.69,Rail,981.4,Heavy Fuel Oil,0.897,4.57,1.622,3.816,0.456,0.736,3.538,26.95,9.99,Incineration,86.51
Transport,Advanced,2020-2025,Asia,1 kg Copper Wire,Copper Scrap,1.833,Electricity,69.75,Truck,822.0,Heavy Fuel Oil,4.507,0.531,4.465,0.986,0.737,0.729,0.666,22.06,49.19,Reuse,42.0
Use,Conventional,2020-2025,Europe,1 m2 Aluminium Panel,Aluminium Ore,4.634,Electricity,36.61,Rail,937.6,Diesel,2.297,4.822,3.687,4.147,0.105,0.586,3.283,29.76,62.36,Recycling,72.62
Manufacturing,Conventional,2010-2014,South America,1 m2 Aluminium Panel,Copper Ore,0.676,Electricity,53.56,Ship,569.7,Heavy Fuel Oil,0.394,2.503,3.569,0.266,0.76,0.576,16.748,21.81,83.33,Incineration,9.46
Raw Material Extraction,Advanced,2020-2025,South America,1 m2 Aluminium Panel,Aluminium Ore,2.317,Coal,20.75,Truck,877.3,Electric,3.525,0.127,0.048,1.456,0.143,0.63,13.444,94.2,95.2,Recycling,65.89
Transport,Advanced,2020-2025,Asia,1 m2 Aluminium Panel,Aluminium Ore,0.526,Coal,36.54,Truck,518.0,Heavy Fuel Oil,2.496,3.017,4.803,4.426,0.109,0.266,16.746,82.43,27.54,Recycling,73.06
Use,Conventional,2020-2025,Europe,1 kg Copper Wire,Copper Scrap,3.524,Electricity,47.88,Truck,209.4,Diesel,4.443,3.389,0.845,3.524,0.741,0.887,4.845,98.88,15.34,Reuse,60.07
Manufacturing,Advanced,2020-2025,Europe,1 kg Copper Wire,Aluminium Scrap,3.457,Coal,42.48,Ship,480.3,Heavy Fuel Oil,4.455,3.226,2.485,0.642,0.007,0.125,19.146,76.41,96.71,Incineration,3.57
Manufacturing,Advanced,2020-2025,Europe,1 m2 Aluminium Panel,Copper Ore,3.561,Electricity,5.39,Truck,784.2,Electric,1.905,0.479,2.84,1.401,0.66,0.658,14.248,99.25,38.67,Reuse,46.53
Manufacturing,Advanced,2010-2014,North America,1 kg Copper Wire,Copper Scrap,4.121,Coal,58.26,Ship,46.9,Electric,4.215,0.257,0.854,0.51,0.078,0.026,1.573,44.24,25.29,Incineration,12.65
Use,Conventional,2020-2025,Europe,1 m2 Aluminium Panel,Aluminium Ore,3.464,Natural Gas,23.39,Truck,28.8,Electric,2.092,1.552,1.593,2.226,0.669,0.616,18.777,51.77,47.26,Landfill,21.34
End-of-Life,Advanced,2020-2025,South America,1 kg Copper Wire,Copper Scrap,3.899,Natural Gas,14.94,Ship,496.2,Diesel,2.107,3.292,4.588,4.733,0.168,0.262,16.327,51.83,45.3,Recycling,71.06
Transport,Emerging,2020-2025,Asia,1 kg Aluminium Sheet,Copper Scrap,3.209,Electricity,97.1,Truck,588.1,Diesel,2.33,2.714,4.043,3.063,0.647,0.971,12.559,38.03,69.13,Incineration,65.95
Use,Advanced,2015-2019,Europe,1 kg Copper Wire,Aluminium Scrap,0.562,Coal,47.27,Rail,745.5,Diesel,2.495,3.898,2.254,4.917,0.293,0.092,8.885,54.17,34.91,Recycling,24.23
Raw Material Extraction,Conventional,2015-2019,South America,1 m2 Aluminium Panel,Copper Scrap,3.524,Electricity,38.34,Ship,635.1,Diesel,3.895,3.805,1.877,2.839,0.45,0.871,17.636,34.37,9.17,Recycling,16.76
Transport,Emerging,2020-2025,Europe,1 m2 Aluminium Panel,Aluminium Scrap,2.152,Coal,56.86,Truck,660.2,Heavy Fuel Oil,1.657,3.337,4.689,3.26,0.159,0.58,11.067,87.07,35.03,Landfill,42.29
Raw Material Extraction,Advanced,2020-2025,Europe,1 kg Copper Wire,Aluminium Ore,3.194,Coal,52.92,Ship,721.8,Electric,0.202,2.818,0.608,1.576,0.662,0.157,6.522,70.3,65.08,Reuse,9.1
Use,Emerging,2010-2014,South America,1 m2 Aluminium Panel,Copper Ore,3.098,Coal,15.58,Truck,259.7,Diesel,2.296,0.547,4.968,0.827,0.781,0.83,19.892,42.87,87.41,Reuse,95.75
End-of-Life,Advanced,2010-2014,Europe,1 kg Copper Wire,Copper Scrap,1.278,Coal,48.46,Rail,69.4,Electric,3.104,2.907,1.021,3.99,0.037,0.806,1.02,65.68,7.88,Incineration,25.12
Raw Material Extraction,Advanced,2015-2019,Europe,1 kg Aluminium Sheet,Copper Ore,3.749,Natural Gas,28.76,Ship,516.1,Diesel,4.576,0.248,4.055,0.326,0.127,0.119,19.885,18.02,89.68,Reuse,99.09
Use,Emerging,2015-2019,Asia,1 kg Aluminium Sheet,Copper Ore,2.227,Natural Gas,63.47,Ship,781.3,Diesel,1.963,0.809,2.169,3.859,0.781,0.231,3.912,92.06,4.4,Landfill,73.47
End-of-Life,Emerging,2010-2014,North America,1 m2 Aluminium Panel,Aluminium Ore,0.709,Coal,83.95,Ship,906.4,Diesel,1.487,0.37,2.403,1.492,0.417,0.665,4.592,35.7,78.26,Recycling,64.38
Transport,Conventional,2015-2019,Asia,1 kg Aluminium Sheet,Copper Ore,1.968,Natural Gas,66.77,Truck,767.7,Electric,2.962,1.197,0.001,4.014,0.823,0.698,1.993,58.52,82.1,Reuse,38.97
End-of-Life,Conventional,2020-2025,Europe,1 kg Copper Wire,Aluminium Ore,1.391,Electricity,59.18,Rail,828.0,Electric,0.244,2.985,3.216,3.012,0.65,0.631,3.043,23.49,61.9,Recycling,1.77
Transport,Conventional,2010-2014,Europe,1 kg Aluminium Sheet,Aluminium Scrap,3.356,Coal,66.87,Rail,246.8,Electric,2.991,2.67,1.303,2.315,0.91,0.427,12.782,3.54,7.78,Reuse,8.13
Manufacturing,Conventional,2020-2025,South America,1 kg Aluminium Sheet,Aluminium Scrap,4.002,Coal,35.68,Rail,235.3,Diesel,3.737,0.85,1.232,2.155,0.331,0.585,7.088,39.3,86.29,Recycling,88.45
End-of-Life,Advanced,2015-2019,North America,1 m2 Aluminium Panel,Copper Ore,4.225,Electricity,86.62,Truck,574.0,Heavy Fuel Oil,3.231,2.786,3.928,2.755,0.111,0.81,15.331,82.03,19.04,Incineration,27.16
End-of-Life,Emerging,2010-2014,Asia,1 m2 Aluminium Panel,Copper Scrap,1.831,Coal,51.3,Ship,142.5,Heavy Fuel Oil,1.927,0.911,1.324,3.532,0.855,0.023,11.535,3.61,8.52,Recycling,70.51
End-of-Life,Conventional,2020-2025,Europe,1 kg Copper Wire,Aluminium Ore,3.81,Natural Gas,81.58,Ship,479.5,Heavy Fuel Oil,4.299,0.834,1.249,0.673,0.798,0.229,3.532,62.31,7.71,Reuse,4.49
Raw Material Extraction,Conventional,2020-2025,South America,1 m2 Aluminium Panel,Aluminium Ore,0.98,Natural Gas,1.02,Rail,700.0,Heavy Fuel Oil,2.811,1.049,1.165,4.055,0.502,0.699,9.329,23.77,97.04,Recycling,56.56
Raw Material Extraction,Conventional,2010-2014,South America,1 m2 Aluminium Panel,Aluminium Scrap,1.089,Electricity,41.2,Rail,336.0,Electric,1.07,4.667,4.405,0.996,0.352,0.762,4.566,59.16,69.98,Reuse,65.4
End-of-Life,Emerging,2020-2025,South America,1 m2 Aluminium Panel,Copper Scrap,3.679,Coal,70.96,Rail,965.2,Heavy Fuel Oil,1.732,4.393,0.109,1.441,0.049,0.651,2.465,84.57,64.66,Recycling,2.88
Transport,Conventional,2010-2014,North America,1 kg Aluminium Sheet,Aluminium Ore,3.716,Natural Gas,86.34,Truck,664.5,Electric,0.153,4.29,3.662,1.892,0.329,0.48,17.408,25.21,10.1,Reuse,86.46
Raw Material Extraction,Advanced,2015-2019,Europe,1 kg Copper Wire,Copper Ore,0.618,Electricity,91.19,Ship,312.7,Heavy Fuel Oil,2.541,0.661,4.511,3.749,0.924,0.683,4.102,30.83,48.68,Landfill,60.73
Transport,Emerging,2015-2019,North America,1 kg Aluminium Sheet,Copper Scrap,4.669,Coal,39.01,Rail,706.0,Electric,4.805,0.762,4.314,2.104,0.732,0.294,7.013,2.71,97.14,Reuse,81.35
Manufacturing,Advanced,2010-2014,Europe,1 m2 Aluminium Panel,Copper Scrap,0.923,Coal,99.95,Rail,609.0,Heavy Fuel Oil,4.269,0.333,1.947,3.348,0.106,0.489,9.132,21.6,30.03,Reuse,96.71
Use,Emerging,2020-2025,North America,1 m2 Aluminium Panel,Copper Scrap,1.799,Electricity,22.13,Ship,540.8,Heavy Fuel Oil,3.355,3.625,3.771,0.184,0.394,0.774,18.145,60.22,5.23,Incineration,39.66
Manufacturing,Conventional,2015-2019,Europe,1 kg Aluminium Sheet,Aluminium Scrap,0.834,Electricity,75.11,Ship,72.9,Diesel,0.929,2.085,2.313,2.032,0.463,0.713,7.701,54.78,30.34,Landfill,35.36
Transport,Emerging,2020-2025,South America,1 kg Copper Wire,Copper Ore,3.262,Electricity,49.56,Rail,725.8,Electric,2.803,4.018,2.217,2.455,0.67,0.221,8.026,62.48,2.89,Landfill,43.7
Transport,Emerging,2015-2019,Asia,1 m2 Aluminium Panel,Aluminium Ore,3.195,Natural Gas,96.77,Truck,878.2,Heavy Fuel Oil,1.404,2.536,0.282,1.204,0.775,0.123,5.525,94.4,82.39,Reuse,78.18
Use,Conventional,2010-2014,South America,1 m2 Aluminium Panel,Aluminium Ore,4.391,Natural Gas,75.21,Truck,129.4,Electric,2.583,2.221,1.556,4.17,0.464,0.06,5.862,22.86,88.75,Recycling,64.74
Raw Material Extraction,Advanced,2020-2025,Asia,1 kg Aluminium Sheet,Copper Ore,3.022,Natural Gas,51.16,Rail,653.6,Electric,3.774,2.772,4.691,4.884,0.995,0.669,18.686,40.45,85.96,Landfill,90.92
Manufacturing,Emerging,2015-2019,Europe,1 kg Aluminium Sheet,Copper Ore,4.569,Natural Gas,83.25,Rail,412.5,Heavy Fuel Oil,0.795,1.67,3.836,1.164,0.478,0.565,12.275,93.57,66.15,Recycling,78.63
Transport,Conventional,2020-2025,Europe,1 kg Copper Wire,Aluminium Scrap,3.118,Coal,83.52,Rail,271.0,Diesel,1.049,4.632,3.467,3.358,0.467,0.377,11.336,12.06,45.47,Reuse,45.54
Transport,Emerging,2020-2025,Asia,1 kg Copper Wire,Aluminium Scrap,2.923,Natural Gas,63.83,Ship,957.7,Diesel,3.261,4.419,2.782,3.135,0.07,0.133,11.804,39.57,79.88,Incineration,54.32
Raw Material Extraction,Emerging,2020-2025,South America,1 kg Copper Wire,Aluminium Ore,4.47,Electricity,97.26,Rail,156.2,Heavy Fuel Oil,1.974,3.325,1.527,1.335,0.814,0.98,15.589,52.37,44.25,Incineration,53.96
Raw Material Extraction,Emerging,2015-2019,South America,1 kg Aluminium Sheet,Copper Scrap,2.583,Coal,50.79,Ship,211.4,Electric,4.519,3.773,3.405,4.75,0.284,0.081,16.61,99.84,57.84,Recycling,5.88
End-of-Life,Conventional,2010-2014,North America,1 m2 Aluminium Panel,Aluminium Ore,4.012,Coal,8.3,Rail,544.6,Electric,1.388,4.575,2.257,4.492,0.299,0.387,18.969,20.13,57.85,Recycling,38.85
Use,Advanced,2010-2014,Asia,1 kg Aluminium Sheet,Aluminium Scrap,3.984,Electricity,13.8,Ship,442.8,Heavy Fuel Oil,3.495,2.035,0.293,3.526,0.503,0.011,12.447,91.99,11.1,Reuse,59.07
End-of-Life,Conventional,2020-2025,North America,1 m2 Aluminium Panel,Copper Ore,3.779,Natural Gas,8.01,Rail,32.4,Heavy Fuel Oil,2.321,3.956,0.804,4.183,0.657,0.332,10.559,96.56,21.64,Incineration,49.95
End-of-Life,Advanced,2010-2014,Asia,1 m2 Aluminium Panel,Copper Scrap,3.31,Coal,14.66,Rail,53.1,Electric,0.067,1.623,0.37,4.019,0.997,0.061,8.938,2.57,13.4,Reuse,32.29
Transport,Emerging,2015-2019,North America,1 m2 Aluminium Panel,Aluminium Ore,2.272,Natural Gas,94.04,Ship,401.9,Electric,2.481,1.228,0.001,4.497,0.082,0.964,3.051,60.49,99.94,Incineration,13.85
Transport,Emerging,2020-2025,Europe,1 kg Aluminium Sheet,Copper Ore,2.408,Coal,78.26,Rail,41.9,Electric,3.449,0.402,1.183,0.8,0.907,0.18,1.288,58.76,34.62,Landfill,40.57
Raw Material Extraction,Emerging,2015-2019,North America,1 kg Aluminium Sheet,Copper Scrap,1.036,Coal,75.08,Truck,605.5,Heavy Fuel Oil,1.821,0.858,2.967,3.893,0.312,0.026,4.68,68.24,98.91,Recycling,1.34
Raw Material Extraction,Advanced,2020-2025,South America,1 m2 Aluminium Panel,Aluminium Ore,1.878,Electricity,7.14,Rail,323.2,Electric,2.03,4.604,0.403,3.886,0.396,0.811,10.511,3.93,94.62,Reuse,8.27
Manufacturing,Advanced,2015-2019,Asia,1 kg Copper Wire,Copper Ore,3.19,Electricity,87.89,Rail,89.0,Electric,2.769,4.121,4.932,3.622,0.278,0.7,14.262,70.0,85.43,Incineration,8.74
Transport,Advanced,2010-2014,Europe,1 kg Copper Wire,Copper Scrap,0.988,Electricity,64.42,Truck,954.3,Diesel,2.329,4.803,4.69,4.515,0.91,0.898,16.488,69.5,2.44,Incineration,13.23
Manufacturing,Advanced,2010-2014,North America,1 kg Aluminium Sheet,Aluminium Ore,1.104,Natural Gas,3.33,Ship,125.5,Heavy Fuel Oil,4.599,3.319,1.56,3.967,0.488,0.142,17.748,33.87,69.89,Incineration,29.06
End-of-Life,Emerging,2015-2019,South America,1 kg Copper Wire,Copper Scrap,2.75,Electricity,81.81,Ship,165.2,Heavy Fuel Oil,4.886,0.351,2.67,4.58,0.946,0.232,3.308,72.44,4.2,Incineration,48.52
Manufacturing,Conventional,2015-2019,North America,1 kg Copper Wire,Aluminium Scrap,4.084,Natural Gas,56.47,Ship,196.1,Heavy Fuel Oil,2.435,4.606,3.086,3.607,0.336,0.188,5.485,53.32,28.02,Recycling,54.2
End-of-Life,Advanced,2015-2019,North America,1 kg Aluminium Sheet,Copper Ore,3.685,Coal,73.71,Rail,173.0,Diesel,3.752,3.363,0.06,0.294,0.646,0.384,3.349,4.44,15.94,Reuse,95.75
Manufacturing,Conventional,2015-2019,North America,1 kg Copper Wire,Copper Scrap,3.774,Electricity,53.24,Rail,942.1,Diesel,3.096,3.628,1.413,2.945,0.143,0.404,1.148,21.66,7.49,Reuse,38.78
Transport,Emerging,2015-2019,Europe,1 kg Aluminium Sheet,Copper Scrap,4.294,Coal,38.42,Ship,833.3,Electric,3.282,2.548,1.184,4.611,0.054,0.689,12.614,44.1,24.03,Incineration,43.07
Manufacturing,Conventional,2020-2025,South America,1 kg Aluminium Sheet,Copper Ore,4.427,Electricity,83.84,Truck,942.0,Diesel,1.539,1.936,0.094,4.715,0.329,0.404,18.202,52.66,56.62,Incineration,17.62
Manufacturing,Advanced,2015-2019,South America,1 m2 Aluminium Panel,Copper Scrap,2.744,Natural Gas,91.9,Ship,563.1,Diesel,1.276,0.156,1.682,2.863,0.043,0.61,10.707,78.34,2.89,Incineration,78.08
End-of-Life,Conventional,2015-2019,Europe,1 kg Aluminium Sheet,Aluminium Ore,2.844,Electricity,37.68,Ship,965.7,Electric,0.801,2.707,1.605,2.637,0.552,0.089,13.392,63.45,76.95,Recycling,9.07
Raw Material Extraction,Advanced,2010-2014,North America,1 m2 Aluminium Panel,Copper Scrap,1.838,Electricity,65.36,Truck,145.4,Electric,3.388,0.295,1.675,4.234,0.774,0.645,17.474,70.93,51.94,Recycling,97.97
Raw Material Extraction,Advanced,2010-2014,South America,1 kg Copper Wire,Copper Scrap,3.627,Coal,60.54,Truck,414.8,Diesel,4.512,1.479,0.046,0.984,0.11,0.319,16.605,65.15,16.9,Recycling,78.88
Manufacturing,Emerging,2010-2014,North America,1 kg Copper Wire,Aluminium Ore,2.769,Natural Gas,51.76,Ship,368.5,Diesel,4.323,1.592,0.471,1.514,0.715,0.658,4.166,11.18,66.09,Reuse,67.64
Transport,Conventional,2010-2014,South America,1 kg Aluminium Sheet,Copper Ore,2.148,Coal,84.44,Truck,978.4,Diesel,1.028,2.885,0.027,3.565,0.414,0.193,15.168,81.06,11.12,Recycling,4.1
Manufacturing,Emerging,2015-2019,Asia,1 m2 Aluminium Panel,Copper Scrap,2.003,Natural Gas,62.97,Truck,795.5,Heavy Fuel Oil,2.73,2.904,3.999,2.644,0.611,0.516,17.669,23.55,26.4,Incineration,12.8
End-of-Life,Emerging,2015-2019,Europe,1 kg Copper Wire,Aluminium Scrap,4.188,Coal,41.77,Truck,354.4,Heavy Fuel Oil,4.907,4.634,4.86,0.711,0.891,0.329,0.747,39.13,50.92,Incineration,10.82
End-of-Life,Conventional,2015-2019,Asia,1 kg Aluminium Sheet,Copper Ore,2.92,Coal,82.13,Ship,383.9,Heavy Fuel Oil,1.763,1.694,4.615,0.244,0.445,0.265,17.929,9.61,41.14,Incineration,40.68
Transport,Conventional,2020-2025,South America,1 kg Copper Wire,Aluminium Scrap,4.498,Coal,22.33,Ship,648.4,Heavy Fuel Oil,0.672,4.77,2.965,3.131,0.434,0.342,4.647,60.4,95.46,Reuse,35.98
Transport,Emerging,2020-2025,Asia,1 kg Aluminium Sheet,Aluminium Ore,4.474,Electricity,15.73,Truck,936.8,Diesel,1.752,1.899,2.314,3.591,0.72,0.48,10.701,3.0,30.43,Reuse,34.6
Transport,Emerging,2010-2014,South America,1 m2 Aluminium Panel,Aluminium Ore,3.014,Natural Gas,56.27,Ship,712.8,Heavy Fuel Oil,3.585,1.176,3.851,0.098,0.716,0.102,14.728,52.71,43.73,Landfill,69.07
Manufacturing,Emerging,2015-2019,Asia,1 kg Copper Wire,Copper Ore,0.664,Electricity,23.12,Truck,620.3,Electric,4.236,1.906,1.294,2.594,0.622,0.42,17.596,52.34,3.58,Reuse,22.31
Manufacturing,Conventional,2015-2019,North America,1 m2 Aluminium Panel,Aluminium Ore,2.528,Coal,70.07,Rail,227.6,Diesel,4.881,1.593,2.662,0.095,0.885,0.789,4.311,93.32,31.58,Recycling,69.22
End-of-Life,Advanced,2020-2025,Europe,1 kg Copper Wire,Aluminium Scrap,4.185,Coal,74.35,Rail,918.4,Diesel,4.321,4.973,0.913,1.524,0.636,0.733,10.925,7.39,84.16,Recycling,96.09
Use,Emerging,2020-2025,North America,1 m2 Aluminium Panel,Copper Ore,2.325,Natural Gas,23.26,Rail,29.1,Diesel,1.186,3.5,4.558,0.468,0.553,0.696,5.889,56.99,71.52,Incineration,83.77
Manufacturing,Advanced,2020-2025,Europe,1 m2 Aluminium Panel,Aluminium Ore,2.536,Coal,75.04,Truck,308.8,Electric,1.065,0.937,1.794,0.179,0.283,0.652,13.134,7.36,28.74,Reuse,56.96
Use,Advanced,2010-2014,North America,1 m2 Aluminium Panel,Aluminium Ore,1.933,Natural Gas,42.38,Ship,715.7,Diesel,0.046,1.382,0.712,0.638,0.959,0.377,10.778,73.38,4.74,Incineration,24.1
Transport,Advanced,2010-2014,North America,1 kg Copper Wire,Aluminium Scrap,4.245,Natural Gas,86.34,Truck,379.2,Electric,1.874,3.784,1.475,0.585,0.258,0.387,1.518,47.87,74.0,Landfill,51.37
End-of-Life,Advanced,2010-2014,Europe,1 kg Copper Wire,Copper Ore,0.824,Natural Gas,44.57,Rail,711.8,Electric,0.29,0.299,1.853,0.975,0.935,0.581,6.103,70.48,37.49,Recycling,13.21
Raw Material Extraction,Emerging,2010-2014,North America,1 kg Aluminium Sheet,Aluminium Ore,1.568,Electricity,64.63,Rail,61.4,Heavy Fuel Oil,1.363,1.042,1.006,3.414,0.826,0.716,13.092,91.65,5.84,Incineration,16.75
End-of-Life,Emerging,2015-2019,South America,1 m2 Aluminium Panel,Copper Ore,2.365,Coal,37.87,Rail,423.9,Diesel,1.032,0.748,2.546,4.64,0.392,0.043,14.27,29.11,24.51,Incineration,32.43
Transport,Advanced,2010-2014,Asia,1 kg Copper Wire,Aluminium Ore,3.757,Natural Gas,82.06,Ship,592.2,Electric,1.612,1.552,0.622,4.667,0.638,0.027,13.416,44.72,97.26,Landfill,81.91
Transport,Advanced,2020-2025,Europe,1 kg Aluminium Sheet,Copper Scrap,1.271,Coal,72.29,Ship,490.7,Diesel,0.935,3.494,2.737,0.152,0.647,0.635,3.31,34.9,58.59,Incineration,13.88
Manufacturing,Conventional,2010-2014,Asia,1 m2 Aluminium Panel,Copper Scrap,4.337,Electricity,3.72,Rail,111.8,Diesel,0.581,2.641,3.101,2.019,0.289,0.809,1.832,28.03,3.91,Landfill,1.39
End-of-Life,Conventional,2020-2025,Europe,1 m2 Aluminium Panel,Copper Scrap,2.09,Electricity,20.29,Ship,275.7,Diesel,4.105,0.815,3.901,3.375,0.326,0.547,9.166,12.84,90.72,Landfill,56.96
Manufacturing,Emerging,2010-2014,Europe,1 m2 Aluminium Panel,Copper Ore,4.461,Electricity,82.56,Truck,89.0,Diesel,1.036,0.726,4.154,4.312,0.528,0.104,3.145,81.35,92.92,Recycling,19.95
Raw Material Extraction,Conventional,2020-2025,Asia,1 kg Aluminium Sheet,Aluminium Ore,0.55,Electricity,33.76,Truck,40.2,Electric,4.14,2.458,3.209,2.057,0.346,0.222,15.525,69.55,36.07,Reuse,32.11
Use,Advanced,2015-2019,Europe,1 kg Aluminium Sheet,Aluminium Ore,0.506,Coal,7.29,Rail,627.0,Electric,2.573,2.174,4.138,2.519,0.384,0.161,16.503,57.62,9.25,Reuse,64.89
Use,Conventional,2020-2025,Europe,1 kg Copper Wire,Copper Ore,2.413,Natural Gas,81.33,Ship,919.7,Diesel,3.002,3.658,0.283,2.801,0.755,0.497,12.074,89.89,19.81,Incineration,9.82
Raw Material Extraction,Emerging,2020-2025,North America,1 kg Copper Wire,Copper Ore,3.608,Coal,82.46,Truck,852.0,Electric,3.208,4.166,3.503,0.437,0.762,0.179,5.114,39.47,31.46,Recycling,32.17
Use,Advanced,2015-2019,Asia,1 kg Aluminium Sheet,Aluminium Scrap,1.262,Natural Gas,30.09,Ship,29.5,Electric,2.365,3.843,4.311,4.102,0.416,0.73,6.114,5.56,67.6,Incineration,64.88
Raw Material Extraction,Conventional,2020-2025,Asia,1 m2 Aluminium Panel,Aluminium Ore,4.107,Natural Gas,61.99,Ship,165.3,Diesel,4.266,3.136,4.038,3.871,0.298,0.075,3.942,9.29,24.34,Recycling,45.95
Transport,Advanced,2015-2019,South America,1 kg Copper Wire,Aluminium Ore,4.581,Natural Gas,87.33,Truck,721.4,Electric,0.121,1.707,3.412,0.645,0.801,0.915,7.405,70.58,14.82,Recycling,69.08
