Process Stage,Technology,Time Period,Location,Functional Unit,Raw Material Type,Raw Material Quantity (kg or unit),Energy Input Type,Energy Input Quantity (MJ),Transport Mode,Transport Distance (km),Fuel Type,Emissions to Air CO2 (kg),Emissions to Air SOx (kg),Emissions to Air NOx (kg),Emissions to Air Particulate Matter (kg),Emissions to Water BOD (kg),Emissions to Water Heavy Metals (kg),Greenhouse Gas Emissions (kg CO2-eq),Recycled Content (%),Reuse Potential (%),End-of-Life Treatment,Recovery Rate (%)
Transport,Conventional,2010-2014,Asia,1 m2 Aluminium Panel,Aluminium Scrap,1.358,Coal,57.25,Truck,816.1,Heavy Fuel Oil,0.612,0.031,0.018,0.012,0.014,0.007,0.673,86.1,68.38,Recycling,60.65
Manufacturing,Emerging,2020-2025,South America,1 kg Aluminium Sheet,Aluminium Ore,4.058,Coal,70.02,Truck,995.6,Heavy Fuel Oil,0.632,0.032,0.019,0.013,0.041,0.02,0.695,15.52,54.52,Incineration,24.75
Raw Material Extraction,Advanced,2010-2014,Asia,1 m2 Aluminium Panel,Copper Ore,0.881,Electricity,74.42,Ship,696.5,Diesel,1.364,0.068,0.041,0.027,0.009,0.004,1.5,15.78,89.74,Landfill,47.02
End-of-Life,Advanced,2015-2019,South America,1 kg Copper Wire,Aluminium Ore,4.444,Coal,85.36,Rail,965.2,Diesel,1.85,0.093,0.056,0.037,0.044,0.022,2.035,81.67,91.4,Recycling,76.76
Transport,Conventional,2015-2019,Asia,1 kg Aluminium Sheet,Copper Scrap,1.072,Electricity,40.2,Ship,278.7,Diesel,0.75,0.037,0.022,0.015,0.011,0.005,0.825,76.26,21.47,Recycling,44.05
Transport,Conventional,2015-2019,Europe,1 m2 Aluminium Panel,Aluminium Ore,3.151,Coal,26.17,Rail,266.4,Heavy Fuel Oil,0.318,0.016,0.01,0.006,0.032,0.016,0.35,19.17,38.67,Reuse,24.67
End-of-Life,Emerging,2020-2025,North America,1 kg Copper Wire,Copper Ore,1.612,Natural Gas,97.4,Truck,403.2,Heavy Fuel Oil,0.834,0.042,0.025,0.017,0.016,0.008,0.918,85.5,23.99,Recycling,52.26
Use,Advanced,2015-2019,South America,1 kg Aluminium Sheet,Copper Scrap,0.656,Electricity,47.4,Ship,404.7,Diesel,0.987,0.049,0.03,0.02,0.007,0.003,1.086,72.02,75.94,Recycling,66.92
Transport,Emerging,2015-2019,South America,1 kg Copper Wire,Copper Scrap,4.242,Natural Gas,46.89,Rail,740.1,Electric,0.471,0.024,0.014,0.009,0.042,0.021,0.518,69.13,24.57,Recycling,41.88
Raw Material Extraction,Emerging,2020-2025,Asia,1 kg Aluminium Sheet,Aluminium Scrap,2.418,Coal,13.97,Rail,702.0,Electric,0.164,0.008,0.005,0.003,0.024,0.012,0.18,55.66,44.97,Recycling,46.03
End-of-Life,Conventional,2010-2014,North America,1 m2 Aluminium Panel,Aluminium Ore,0.933,Coal,29.29,Truck,870.8,Diesel,0.44,0.022,0.013,0.009,0.009,0.005,0.484,86.6,17.66,Recycling,45.12
Transport,Advanced,2020-2025,North America,1 m2 Aluminium Panel,Aluminium Ore,1.876,Coal,88.6,Ship,726.6,Electric,0.98,0.049,0.029,0.02,0.019,0.009,1.078,23.03,80.29,Landfill,36.57
End-of-Life,Advanced,2010-2014,Europe,1 kg Aluminium Sheet,Aluminium Ore,2.57,Natural Gas,78.46,Truck,316.2,Diesel,1.702,0.085,0.051,0.034,0.026,0.013,1.872,83.16,59.94,Recycling,64.8
Transport,Conventional,2010-2014,Asia,1 kg Copper Wire,Copper Ore,2.822,Coal,35.25,Rail,675.5,Electric,0.352,0.018,0.011,0.007,0.028,0.014,0.387,23.2,70.0,Recycling,37.31
Raw Material Extraction,Advanced,2020-2025,Europe,1 kg Copper Wire,Aluminium Ore,0.966,Electricity,26.1,Rail,919.8,Heavy Fuel Oil,0.278,0.014,0.008,0.006,0.01,0.005,0.305,14.87,79.15,Landfill,41.47
Use,Conventional,2015-2019,South America,1 kg Aluminium Sheet,Copper Ore,1.815,Electricity,93.17,Rail,557.4,Diesel,2.013,0.101,0.06,0.04,0.018,0.009,2.214,28.15,32.91,Incineration,24.51
Use,Emerging,2010-2014,North America,1 kg Aluminium Sheet,Aluminium Scrap,4.161,Natural Gas,62.24,Rail,839.8,Diesel,0.953,0.048,0.029,0.019,0.042,0.021,1.049,83.0,31.88,Recycling,56.94
Use,Advanced,2015-2019,North America,1 kg Aluminium Sheet,Copper Scrap,4.319,Natural Gas,14.78,Rail,584.4,Diesel,0.294,0.015,0.009,0.006,0.043,0.022,0.323,90.0,81.51,Recycling,80.71
Use,Conventional,2010-2014,South America,1 kg Aluminium Sheet,Copper Ore,3.814,Electricity,92.61,Rail,452.4,Diesel,1.742,0.087,0.052,0.035,0.038,0.019,1.916,17.89,13.75,Recycling,20.0
Manufacturing,Advanced,2020-2025,Asia,1 m2 Aluminium Panel,Aluminium Scrap,0.675,Electricity,4.56,Rail,833.3,Heavy Fuel Oil,0.038,0.002,0.001,0.001,0.007,0.003,0.041,91.29,70.76,Recycling,75.0
Use,Advanced,2010-2014,North America,1 kg Copper Wire,Aluminium Scrap,1.326,Electricity,68.23,Truck,765.7,Heavy Fuel Oil,0.756,0.038,0.023,0.015,0.013,0.007,0.832,77.88,63.0,Recycling,60.46
Manufacturing,Conventional,2010-2014,South America,1 kg Aluminium Sheet,Copper Ore,0.921,Coal,21.88,Truck,246.3,Heavy Fuel Oil,0.243,0.012,0.007,0.005,0.009,0.005,0.267,7.62,30.86,Reuse,20.0
Raw Material Extraction,Conventional,2020-2025,Europe,1 kg Copper Wire,Copper Ore,2.309,Electricity,65.01,Rail,357.2,Diesel,1.372,0.069,0.041,0.027,0.023,0.012,1.51,11.88,55.26,Landfill,32.66
Use,Emerging,2015-2019,South America,1 m2 Aluminium Panel,Copper Ore,4.838,Natural Gas,93.14,Rail,764.6,Diesel,1.594,0.08,0.048,0.032,0.048,0.024,1.753,20.5,70.0,Landfill,39.57
Manufacturing,Emerging,2015-2019,Europe,1 m2 Aluminium Panel,Aluminium Ore,4.531,Electricity,79.18,Ship,203.3,Heavy Fuel Oil,0.66,0.033,0.02,0.013,0.045,0.023,0.726,24.95,22.44,Landfill,20.0
Transport,Advanced,2020-2025,Europe,1 kg Copper Wire,Copper Scrap,4.82,Electricity,38.53,Ship,19.5,Electric,0.361,0.018,0.011,0.007,0.048,0.024,0.397,76.4,51.1,Recycling,60.53
Raw Material Extraction,Conventional,2020-2025,Asia,1 kg Copper Wire,Copper Scrap,2.126,Electricity,86.34,Ship,430.1,Diesel,1.726,0.086,0.052,0.035,0.021,0.011,1.899,88.59,69.11,Recycling,69.0
Manufacturing,Emerging,2010-2014,North America,1 m2 Aluminium Panel,Copper Ore,0.829,Electricity,9.86,Rail,655.5,Heavy Fuel Oil,0.113,0.006,0.003,0.002,0.008,0.004,0.124,19.67,36.01,Recycling,27.96
Raw Material Extraction,Emerging,2020-2025,South America,1 m2 Aluminium Panel,Aluminium Ore,3.184,Coal,50.57,Rail,981.8,Diesel,1.095,0.055,0.033,0.022,0.032,0.016,1.204,16.28,23.21,Incineration,20.0
Transport,Conventional,2020-2025,Europe,1 m2 Aluminium Panel,Copper Ore,4.749,Electricity,2.91,Ship,965.7,Diesel,0.06,0.003,0.002,0.001,0.047,0.024,0.066,18.31,22.55,Recycling,20.0
Use,Emerging,2020-2025,Asia,1 m2 Aluminium Panel,Aluminium Ore,1.475,Coal,58.97,Rail,354.6,Diesel,1.329,0.066,0.04,0.027,0.015,0.007,1.462,18.36,34.04,Recycling,25.06
Use,Emerging,2010-2014,South America,1 kg Copper Wire,Copper Scrap,3.085,Natural Gas,77.07,Rail,295.9,Diesel,1.643,0.082,0.049,0.033,0.031,0.015,1.807,55.01,47.54,Recycling,41.36
Use,Emerging,2015-2019,North America,1 m2 Aluminium Panel,Copper Scrap,0.831,Natural Gas,19.78,Truck,344.5,Heavy Fuel Oil,0.175,0.009,0.005,0.003,0.008,0.004,0.192,95.62,57.78,Recycling,79.58
End-of-Life,Advanced,2020-2025,Asia,1 kg Copper Wire,Copper Ore,1.506,Natural Gas,84.87,Ship,497.0,Diesel,1.638,0.082,0.049,0.033,0.015,0.008,1.801,92.11,70.24,Recycling,76.8
Transport,Emerging,2020-2025,South America,1 kg Copper Wire,Copper Ore,2.632,Electricity,75.79,Ship,881.5,Heavy Fuel Oil,0.753,0.038,0.023,0.015,0.026,0.013,0.829,20.82,28.05,Landfill,24.71
Use,Conventional,2010-2014,North America,1 kg Aluminium Sheet,Copper Scrap,2.955,Natural Gas,18.8,Ship,353.9,Heavy Fuel Oil,0.211,0.011,0.006,0.004,0.03,0.015,0.232,97.39,32.91,Recycling,57.99
Use,Advanced,2015-2019,South America,1 kg Copper Wire,Aluminium Scrap,3.033,Natural Gas,19.53,Rail,802.6,Heavy Fuel Oil,0.192,0.01,0.006,0.004,0.03,0.015,0.211,66.6,57.23,Recycling,61.02
Manufacturing,Emerging,2010-2014,Asia,1 kg Aluminium Sheet,Copper Ore,0.589,Coal,54.58,Truck,957.0,Electric,0.472,0.024,0.014,0.009,0.006,0.003,0.519,10.78,49.75,Landfill,33.81
End-of-Life,Advanced,2015-2019,South America,1 kg Copper Wire,Aluminium Scrap,4.886,Electricity,69.2,Ship,896.1,Diesel,1.531,0.077,0.046,0.031,0.049,0.024,1.684,89.0,54.73,Recycling,60.96
Use,Conventional,2010-2014,South America,1 kg Copper Wire,Copper Scrap,4.023,Electricity,30.37,Truck,567.1,Diesel,0.651,0.033,0.02,0.013,0.04,0.02,0.717,74.28,15.46,Recycling,45.33
Transport,Emerging,2020-2025,South America,1 m2 Aluminium Panel,Copper Scrap,2.939,Electricity,28.97,Ship,330.2,Diesel,0.548,0.027,0.016,0.011,0.029,0.015,0.603,78.17,16.69,Recycling,53.12
Manufacturing,Advanced,2010-2014,Asia,1 kg Copper Wire,Copper Ore,3.407,Coal,36.27,Ship,677.0,Electric,0.396,0.02,0.012,0.008,0.034,0.017,0.436,25.53,74.82,Landfill,38.74
Manufacturing,Advanced,2015-2019,South America,1 kg Aluminium Sheet,Copper Ore,1.76,Natural Gas,3.85,Ship,420.7,Electric,0.034,0.002,0.001,0.001,0.018,0.009,0.037,7.61,54.42,Recycling,31.14
Raw Material Extraction,Conventional,2020-2025,Europe,1 kg Aluminium Sheet,Aluminium Ore,1.919,Natural Gas,6.99,Truck,690.0,Heavy Fuel Oil,0.056,0.003,0.002,0.001,0.019,0.01,0.062,24.32,46.7,Incineration,40.04
Manufacturing,Emerging,2020-2025,Asia,1 kg Copper Wire,Aluminium Ore,2.612,Natural Gas,51.62,Rail,640.0,Heavy Fuel Oil,0.451,0.023,0.014,0.009,0.026,0.013,0.496,24.82,37.84,Reuse,26.98
Use,Advanced,2010-2014,Asia,1 kg Copper Wire,Aluminium Scrap,3.377,Electricity,87.41,Rail,415.4,Diesel,1.839,0.092,0.055,0.037,0.034,0.017,2.023,73.33,85.34,Recycling,72.32
Manufacturing,Conventional,2015-2019,Europe,1 m2 Aluminium Panel,Copper Scrap,0.569,Electricity,11.62,Rail,101.7,Electric,0.112,0.006,0.003,0.002,0.006,0.003,0.123,81.79,0.0,Recycling,38.65
Use,Emerging,2015-2019,Asia,1 kg Aluminium Sheet,Copper Ore,1.898,Natural Gas,87.17,Truck,178.7,Diesel,1.955,0.098,0.059,0.039,0.019,0.009,2.15,16.74,32.64,Landfill,25.26
Use,Advanced,2015-2019,South America,1 kg Aluminium Sheet,Aluminium Ore,3.139,Coal,8.65,Rail,265.3,Heavy Fuel Oil,0.084,0.004,0.003,0.002,0.031,0.016,0.092,16.92,64.81,Reuse,38.63
End-of-Life,Emerging,2020-2025,South America,1 kg Aluminium Sheet,Copper Scrap,3.029,Coal,43.9,Rail,464.3,Heavy Fuel Oil,0.388,0.019,0.012,0.008,0.03,0.015,0.427,98.57,39.65,Recycling,61.54
Transport,Conventional,2015-2019,Europe,1 kg Aluminium Sheet,Copper Ore,4.16,Coal,10.78,Ship,78.9,Electric,0.113,0.006,0.003,0.002,0.042,0.021,0.124,17.05,49.74,Reuse,36.81
Manufacturing,Conventional,2010-2014,Asia,1 m2 Aluminium Panel,Aluminium Scrap,2.607,Natural Gas,88.94,Rail,769.0,Diesel,1.867,0.093,0.056,0.037,0.026,0.013,2.054,84.95,27.57,Recycling,64.07
Transport,Emerging,2015-2019,Europe,1 m2 Aluminium Panel,Copper Scrap,4.391,Electricity,92.67,Ship,33.6,Heavy Fuel Oil,0.986,0.049,0.03,0.02,0.044,0.022,1.085,76.17,21.54,Recycling,45.35
Manufacturing,Emerging,2015-2019,Europe,1 kg Copper Wire,Aluminium Scrap,0.862,Electricity,16.49,Truck,257.4,Electric,0.196,0.01,0.006,0.004,0.009,0.004,0.216,78.92,39.32,Recycling,56.6
Manufacturing,Emerging,2015-2019,North America,1 kg Copper Wire,Copper Scrap,2.832,Natural Gas,52.66,Truck,544.0,Heavy Fuel Oil,0.513,0.026,0.015,0.01,0.028,0.014,0.564,80.09,46.06,Recycling,55.53
Use,Emerging,2020-2025,North America,1 m2 Aluminium Panel,Aluminium Ore,1.422,Electricity,89.58,Rail,929.3,Diesel,1.805,0.09,0.054,0.036,0.014,0.007,1.986,11.15,49.26,Recycling,22.83
Transport,Advanced,2020-2025,South America,1 kg Copper Wire,Copper Scrap,4.498,Electricity,85.28,Rail,439.0,Electric,0.823,0.041,0.025,0.016,0.045,0.022,0.905,82.27,89.46,Recycling,76.52
Transport,Emerging,2015-2019,North America,1 kg Copper Wire,Copper Scrap,4.177,Natural Gas,91.68,Rail,304.9,Heavy Fuel Oil,0.905,0.045,0.027,0.018,0.042,0.021,0.995,71.96,37.91,Recycling,57.59
Manufacturing,Advanced,2010-2014,North America,1 m2 Aluminium Panel,Copper Ore,4.232,Natural Gas,73.24,Ship,217.3,Heavy Fuel Oil,0.71,0.036,0.021,0.014,0.042,0.021,0.781,23.1,30.0,Recycling,23.58
Use,Emerging,2020-2025,North America,1 m2 Aluminium Panel,Aluminium Ore,1.273,Electricity,36.46,Truck,201.0,Diesel,0.688,0.034,0.021,0.014,0.013,0.006,0.757,17.35,68.74,Landfill,35.91
Raw Material Extraction,Conventional,2015-2019,Europe,1 kg Aluminium Sheet,Copper Ore,3.06,Electricity,89.43,Truck,640.2,Diesel,1.984,0.099,0.06,0.04,0.031,0.015,2.183,26.18,70.0,Recycling,38.6
Transport,Emerging,2020-2025,Asia,1 m2 Aluminium Panel,Copper Scrap,0.814,Coal,86.13,Ship,780.0,Electric,0.93,0.046,0.028,0.019,0.008,0.004,1.023,72.43,54.25,Recycling,60.82
Raw Material Extraction,Emerging,2020-2025,Europe,1 m2 Aluminium Panel,Copper Ore,0.52,Electricity,50.62,Rail,707.8,Diesel,1.056,0.053,0.032,0.021,0.005,0.003,1.161,15.1,70.0,Landfill,33.87
Raw Material Extraction,Emerging,2020-2025,Europe,1 kg Copper Wire,Copper Ore,1.156,Electricity,19.34,Truck,212.4,Electric,0.179,0.009,0.005,0.004,0.012,0.006,0.196,16.35,70.0,Recycling,30.58
Use,Advanced,2010-2014,Asia,1 kg Copper Wire,Copper Ore,2.471,Coal,77.82,Ship,722.1,Electric,0.87,0.043,0.026,0.017,0.025,0.012,0.957,29.17,43.43,Landfill,25.81
Use,Advanced,2010-2014,Europe,1 kg Copper Wire,Copper Ore,1.836,Coal,16.09,Truck,146.7,Diesel,0.296,0.015,0.009,0.006,0.018,0.009,0.326,14.71,71.29,Landfill,38.4
Manufacturing,Advanced,2020-2025,Asia,1 m2 Aluminium Panel,Aluminium Ore,4.944,Coal,37.87,Truck,463.1,Diesel,0.682,0.034,0.02,0.014,0.049,0.025,0.75,17.25,66.29,Landfill,29.5
Transport,Conventional,2020-2025,South America,1 m2 Aluminium Panel,Aluminium Scrap,1.339,Coal,37.02,Ship,137.8,Electric,0.307,0.015,0.009,0.006,0.013,0.007,0.337,76.72,25.62,Recycling,47.3
Transport,Conventional,2015-2019,North America,1 kg Copper Wire,Copper Ore,2.427,Coal,98.34,Truck,335.5,Electric,1.073,0.054,0.032,0.021,0.024,0.012,1.18,22.03,38.6,Incineration,22.47
Transport,Conventional,2020-2025,Europe,1 kg Aluminium Sheet,Copper Scrap,4.952,Natural Gas,77.19,Rail,962.5,Diesel,1.608,0.08,0.048,0.032,0.05,0.025,1.769,83.09,60.02,Recycling,69.52
End-of-Life,Advanced,2020-2025,South America,1 kg Aluminium Sheet,Aluminium Ore,2.854,Natural Gas,92.5,Rail,826.8,Heavy Fuel Oil,0.968,0.048,0.029,0.019,0.029,0.014,1.064,89.14,72.0,Recycling,76.75
End-of-Life,Emerging,2020-2025,North America,1 m2 Aluminium Panel,Aluminium Scrap,1.842,Natural Gas,15.76,Ship,831.2,Electric,0.164,0.008,0.005,0.003,0.018,0.009,0.18,84.19,13.84,Recycling,54.71
Use,Advanced,2015-2019,North America,1 kg Copper Wire,Aluminium Scrap,1.868,Coal,1.85,Rail,835.3,Diesel,0.038,0.002,0.001,0.001,0.019,0.009,0.042,72.76,100.0,Recycling,78.96
Manufacturing,Emerging,2020-2025,Europe,1 m2 Aluminium Panel,Aluminium Scrap,4.67,Natural Gas,4.13,Ship,775.7,Heavy Fuel Oil,0.038,0.002,0.001,0.001,0.047,0.023,0.042,78.89,43.0,Recycling,63.97
Transport,Advanced,2015-2019,South America,1 kg Copper Wire,Copper Ore,0.631,Electricity,5.01,Rail,616.5,Heavy Fuel Oil,0.049,0.002,0.001,0.001,0.006,0.003,0.054,26.72,90.77,Reuse,50.93
Raw Material Extraction,Conventional,2015-2019,South America,1 m2 Aluminium Panel,Copper Ore,3.247,Natural Gas,23.25,Ship,616.9,Diesel,0.53,0.026,0.016,0.011,0.032,0.016,0.583,23.81,46.86,Reuse,31.09
Manufacturing,Conventional,2010-2014,Asia,1 kg Aluminium Sheet,Aluminium Ore,1.388,Electricity,95.16,Ship,543.0,Heavy Fuel Oil,0.887,0.044,0.027,0.018,0.014,0.007,0.975,21.46,66.59,Landfill,34.42
Transport,Advanced,2020-2025,Europe,1 kg Copper Wire,Copper Scrap,3.681,Electricity,4.97,Ship,551.1,Electric,0.056,0.003,0.002,0.001,0.037,0.018,0.062,71.13,99.54,Recycling,71.71
Transport,Conventional,2020-2025,South America,1 m2 Aluminium Panel,Copper Scrap,2.031,Natural Gas,32.93,Ship,430.2,Diesel,0.674,0.034,0.02,0.013,0.02,0.01,0.742,77.45,17.81,Recycling,37.44
Use,Emerging,2020-2025,North America,1 kg Aluminium Sheet,Aluminium Ore,4.523,Natural Gas,50.17,Rail,548.8,Heavy Fuel Oil,0.497,0.025,0.015,0.01,0.045,0.023,0.546,13.61,38.39,Incineration,23.65
Manufacturing,Conventional,2010-2014,South America,1 kg Aluminium Sheet,Copper Scrap,2.172,Natural Gas,20.31,Truck,123.2,Heavy Fuel Oil,0.22,0.011,0.007,0.004,0.022,0.011,0.242,87.57,52.1,Recycling,63.23
Manufacturing,Advanced,2010-2014,North America,1 m2 Aluminium Panel,Copper Scrap,3.133,Coal,22.27,Truck,890.2,Electric,0.216,0.011,0.006,0.004,0.031,0.016,0.237,90.1,82.89,Recycling,78.46
Manufacturing,Emerging,2015-2019,North America,1 m2 Aluminium Panel,Aluminium Scrap,4.88,Coal,26.95,Truck,220.7,Heavy Fuel Oil,0.273,0.014,0.008,0.005,0.049,0.024,0.3,71.97,39.24,Recycling,50.63
End-of-Life,Advanced,2020-2025,Europe,1 kg Copper Wire,Aluminium Scrap,0.83,Natural Gas,41.12,Truck,49.5,Diesel,0.785,0.039,0.024,0.016,0.008,0.004,0.864,85.24,82.28,Recycling,73.63
Transport,Emerging,2020-2025,North America,1 m2 Aluminium Panel,Copper Scrap,3.858,Natural Gas,22.68,Rail,81.2,Heavy Fuel Oil,0.209,0.01,0.006,0.004,0.039,0.019,0.23,95.21,33.71,Recycling,68.74
End-of-Life,Advanced,2010-2014,Asia,1 kg Aluminium Sheet,Aluminium Scrap,2.057,Coal,45.67,Rail,751.1,Diesel,0.866,0.043,0.026,0.017,0.021,0.01,0.953,80.27,85.17,Recycling,73.78
End-of-Life,Emerging,2020-2025,Asia,1 kg Copper Wire,Copper Scrap,2.127,Electricity,93.31,Ship,634.3,Electric,0.911,0.046,0.027,0.018,0.021,0.011,1.003,76.58,16.93,Recycling,43.21
Raw Material Extraction,Advanced,2020-2025,North America,1 kg Aluminium Sheet,Copper Scrap,2.727,Natural Gas,47.67,Rail,956.7,Electric,0.545,0.027,0.016,0.011,0.027,0.014,0.599,76.7,69.7,Recycling,58.88
Transport,Conventional,2015-2019,South America,1 kg Aluminium Sheet,Aluminium Scrap,2.065,Coal,40.59,Truck,367.2,Heavy Fuel Oil,0.398,0.02,0.012,0.008,0.021,0.01,0.438,92.76,47.42,Recycling,65.44
Raw Material Extraction,Advanced,2020-2025,Asia,1 m2 Aluminium Panel,Aluminium Ore,0.77,Natural Gas,49.31,Ship,776.3,Electric,0.51,0.025,0.015,0.01,0.008,0.004,0.561,14.69,77.91,Reuse,36.64
End-of-Life,Conventional,2015-2019,North America,1 kg Copper Wire,Aluminium Scrap,1.972,Coal,33.58,Rail,602.2,Diesel,0.633,0.032,0.019,0.013,0.02,0.01,0.696,71.44,3.75,Recycling,32.06
Manufacturing,Emerging,2010-2014,Europe,1 kg Copper Wire,Aluminium Ore,2.862,Coal,60.36,Truck,571.0,Electric,0.524,0.026,0.016,0.01,0.029,0.014,0.577,25.26,46.98,Incineration,28.92
Manufacturing,Advanced,2015-2019,Europe,1 kg Copper Wire,Aluminium Scrap,4.329,Electricity,26.44,Truck,413.0,Heavy Fuel Oil,0.351,0.018,0.011,0.007,0.043,0.022,0.386,78.59,65.11,Recycling,65.91
Raw Material Extraction,Conventional,2010-2014,South America,1 kg Aluminium Sheet,Aluminium Scrap,3.747,Natural Gas,7.14,Truck,473.6,Heavy Fuel Oil,0.07,0.004,0.002,0.001,0.037,0.019,0.077,92.69,45.23,Recycling,66.32
Use,Emerging,2020-2025,South America,1 kg Copper Wire,Aluminium Ore,2.352,Natural Gas,19.2,Ship,942.0,Heavy Fuel Oil,0.214,0.011,0.006,0.004,0.024,0.012,0.236,20.54,14.43,Landfill,20.0
End-of-Life,Advanced,2015-2019,Asia,1 m2 Aluminium Panel,Copper Ore,4.935,Natural Gas,52.66,Truck,149.3,Diesel,1.043,0.052,0.031,0.021,0.049,0.025,1.147,64.84,69.28,Recycling,57.22
Raw Material Extraction,Advanced,2010-2014,South America,1 kg Copper Wire,Copper Ore,2.385,Natural Gas,78.15,Rail,361.4,Heavy Fuel Oil,0.718,0.036,0.022,0.014,0.024,0.012,0.79,20.9,73.4,Recycling,46.3
Use,Emerging,2015-2019,South America,1 kg Aluminium Sheet,Aluminium Scrap,2.681,Coal,83.67,Truck,936.6,Electric,0.807,0.04,0.024,0.016,0.027,0.013,0.888,77.88,58.04,Recycling,58.31
Transport,Advanced,2010-2014,Europe,1 m2 Aluminium Panel,Aluminium Ore,4.338,Coal,78.11,Rail,634.8,Electric,0.927,0.046,0.028,0.019,0.043,0.022,1.019,20.62,86.49,Landfill,43.15
Use,Conventional,2020-2025,Asia,1 kg Aluminium Sheet,Aluminium Ore,3.547,Coal,70.08,Truck,540.6,Electric,0.678,0.034,0.02,0.014,0.035,0.018,0.746,22.49,66.11,Landfill,34.89
Raw Material Extraction,Advanced,2015-2019,North America,1 kg Aluminium Sheet,Copper Scrap,2.717,Natural Gas,89.03,Truck,352.9,Heavy Fuel Oil,0.965,0.048,0.029,0.019,0.027,0.014,1.062,77.16,89.75,Recycling,59.94
Use,Emerging,2020-2025,South America,1 m2 Aluminium Panel,Copper Scrap,1.997,Coal,28.39,Truck,659.4,Electric,0.266,0.013,0.008,0.005,0.02,0.01,0.292,85.72,56.97,Recycling,73.67
Raw Material Extraction,Conventional,2015-2019,Asia,1 kg Aluminium Sheet,Aluminium Scrap,1.33,Electricity,28.05,Truck,414.9,Diesel,0.615,0.031,0.018,0.012,0.013,0.007,0.677,93.95,70.0,Recycling,75.91
End-of-Life,Conventional,2020-2025,Asia,1 kg Copper Wire,Aluminium Ore,3.911,Electricity,62.17,Truck,789.1,Diesel,1.341,0.067,0.04,0.027,0.039,0.02,1.476,76.57,63.2,Recycling,65.63
Manufacturing,Conventional,2010-2014,North America,1 kg Copper Wire,Copper Scrap,2.958,Coal,22.63,Rail,547.0,Heavy Fuel Oil,0.259,0.013,0.008,0.005,0.03,0.015,0.285,70.52,65.06,Recycling,60.84
Raw Material Extraction,Emerging,2015-2019,South America,1 kg Aluminium Sheet,Copper Scrap,3.551,Coal,68.77,Truck,225.0,Diesel,1.287,0.064,0.039,0.026,0.036,0.018,1.416,90.91,17.63,Recycling,53.05
Manufacturing,Emerging,2020-2025,Asia,1 kg Aluminium Sheet,Copper Scrap,2.923,Electricity,15.44,Ship,557.5,Electric,0.136,0.007,0.004,0.003,0.029,0.015,0.15,96.05,61.39,Recycling,72.56
Raw Material Extraction,Emerging,2015-2019,Asia,1 kg Copper Wire,Copper Ore,0.989,Electricity,79.38,Rail,179.0,Diesel,1.506,0.075,0.045,0.03,0.01,0.005,1.657,27.14,41.43,Incineration,35.53
Transport,Emerging,2015-2019,South America,1 kg Aluminium Sheet,Copper Ore,0.6,Coal,71.95,Ship,119.1,Heavy Fuel Oil,0.681,0.034,0.02,0.014,0.006,0.003,0.749,22.34,64.32,Landfill,33.3
Transport,Advanced,2015-2019,Europe,1 m2 Aluminium Panel,Aluminium Scrap,4.794,Natural Gas,37.77,Truck,831.1,Heavy Fuel Oil,0.397,0.02,0.012,0.008,0.048,0.024,0.437,74.74,53.75,Recycling,61.65
End-of-Life,Emerging,2010-2014,South America,1 kg Aluminium Sheet,Copper Ore,1.861,Electricity,14.05,Truck,389.1,Heavy Fuel Oil,0.148,0.007,0.004,0.003,0.019,0.009,0.163,68.38,70.0,Recycling,68.67
Raw Material Extraction,Emerging,2020-2025,Asia,1 m2 Aluminium Panel,Aluminium Scrap,4.614,Coal,51.09,Rail,548.3,Diesel,0.844,0.042,0.025,0.017,0.046,0.023,0.929,77.87,37.48,Recycling,50.86
End-of-Life,Advanced,2015-2019,South America,1 kg Aluminium Sheet,Copper Ore,0.737,Coal,55.5,Ship,314.2,Diesel,0.987,0.049,0.03,0.02,0.007,0.004,1.086,81.02,61.84,Recycling,59.85
End-of-Life,Conventional,2015-2019,Europe,1 kg Aluminium Sheet,Copper Ore,3.261,Natural Gas,10.47,Truck,361.0,Heavy Fuel Oil,0.108,0.005,0.003,0.002,0.033,0.016,0.119,78.17,45.03,Recycling,62.65
Use,Emerging,2015-2019,South America,1 kg Copper Wire,Copper Ore,2.842,Natural Gas,93.14,Ship,933.1,Electric,0.976,0.049,0.029,0.02,0.028,0.014,1.073,15.41,32.66,Incineration,20.93
Manufacturing,Conventional,2010-2014,Europe,1 kg Aluminium Sheet,Aluminium Ore,0.779,Coal,88.92,Truck,870.2,Diesel,1.921,0.096,0.058,0.038,0.008,0.004,2.114,18.53,65.56,Incineration,37.45
Raw Material Extraction,Advanced,2015-2019,South America,1 m2 Aluminium Panel,Copper Ore,2.423,Electricity,12.23,Truck,439.4,Heavy Fuel Oil,0.149,0.007,0.004,0.003,0.024,0.012,0.164,10.88,58.92,Landfill,25.87
Manufacturing,Advanced,2010-2014,North America,1 kg Aluminium Sheet,Aluminium Scrap,2.871,Natural Gas,54.18,Rail,445.4,Diesel,1.094,0.055,0.033,0.022,0.029,0.014,1.203,95.56,92.48,Recycling,88.44
Transport,Conventional,2020-2025,North America,1 kg Aluminium Sheet,Aluminium Scrap,0.613,Natural Gas,57.49,Truck,885.4,Diesel,1.144,0.057,0.034,0.023,0.006,0.003,1.259,77.48,35.81,Recycling,56.11
